averageBurned;averageForest;averageTime;empty
2456.2;21.1;77.2;0.01
2404.9;20.7;73.3;0.03
2360.0;19.9;76.6;0.05
2290.8;25.1;76.0;0.07
2251.7;28.6;74.8;0.09
2193.5;29.0;77.4;0.11
2142.2;35.9;73.9;0.13
2087.5;44.4;77.2;0.15
2022.7;52.0;77.9;0.17
1965.4;55.1;74.6;0.19
1913.7;65.7;74.6;0.21
1855.0;82.1;77.1;0.23
1729.8;132.6;84.4;0.25
1690.8;143.5;88.2;0.27
1257.2;516.9;84.9;0.29
1132.2;595.9;84.7;0.31
801.6;874.3;72.8;0.33
1022.1;624.5;97.7;0.35
175.0;1362.3;36.2;0.37
124.6;1367.2;31.8;0.39
69.2;1354.3;21.9;0.41
25.1;1328.8;10.2;0.43
32.1;1285.7;11.4;0.45
10.0;1255.5;5.1;0.47
10.1;1208.2;5.7;0.49
13.9;1159.8;7.4;0.51
12.3;1118.5;6.4;0.53
4.7;1075.6;3.6;0.55
12.7;1018.8;7.3;0.57
3.8;971.4;2.6;0.59
9.1;907.6;4.7;0.61
6.3;871.9;4.5;0.63
4.5;827.7;3.7;0.65
4.6;786.4;3.4;0.67
2.9;733.9;2.1;0.69
2.5;677.9;2.2;0.71
2.6;614.1;2.1;0.73
1.9;568.7;1.8;0.75
2.5;522.7;2.1;0.77
2.5;492.5;2.0;0.79
2.7;450.5;2.3;0.81
1.8;400.4;1.7;0.83
1.7;350.7;1.5;0.85
1.6;300.0;1.6;0.87
2.0;248.4;1.9;0.89
1.5;205.4;1.5;0.91
1.2;158.3;1.2;0.93
1.0;113.3;1.0;0.95
1.0;66.8;1.0;0.97
1.0;24.0;1.0;0.99
