averageBurned;averageForest;averageTime;empty
2469.0;0.0;79.3;0.01
2418.1;0.0;74.0;0.03
2365.1;0.0;74.5;0.05
2316.2;0.3;75.9;0.07
2258.2;2.0;70.1;0.09
2218.8;2.3;80.8;0.11
2170.9;3.4;74.4;0.13
2131.8;4.3;77.8;0.15
2064.1;5.2;72.9;0.17
2013.3;8.7;75.6;0.19
1759.4;209.3;67.2;0.21
1892.4;21.6;72.6;0.23
1831.0;33.6;76.9;0.25
1746.5;53.9;72.7;0.27
1672.4;82.6;75.8;0.29
1610.0;102.4;72.2;0.31
1569.7;97.9;99.3;0.33
1333.8;295.2;84.7;0.35
1393.1;181.2;114.3;0.37
615.3;916.6;46.0;0.39
709.2;774.4;92.7;0.41
178.0;1259.2;34.3;0.43
140.0;1238.8;30.9;0.45
63.5;1259.4;18.8;0.47
27.4;1229.1;11.2;0.49
14.5;1197.9;7.0;0.51
23.2;1134.0;9.3;0.53
11.1;1097.3;5.3;0.55
14.2;1058.4;7.2;0.57
12.2;1016.4;7.1;0.59
6.2;973.3;4.2;0.61
6.5;933.4;4.7;0.63
6.1;874.3;4.0;0.65
5.7;831.5;3.7;0.67
4.2;780.2;3.3;0.69
4.8;736.2;3.7;0.71
6.4;675.9;3.6;0.73
4.1;643.3;2.8;0.75
2.0;590.3;1.9;0.77
2.9;535.6;2.4;0.79
2.1;479.2;1.8;0.81
2.8;429.6;2.4;0.83
2.0;378.3;1.8;0.85
2.0;337.6;1.7;0.87
1.0;285.5;1.0;0.89
1.6;236.0;1.5;0.91
1.2;193.7;1.2;0.93
1.2;131.8;1.2;0.95
1.0;76.8;1.0;0.97
1.0;29.3;1.0;0.99
