burned;dim;empty;endOfBurning;finalTime;fireDuration;forest;simulations
2478;50;0.01;82;200;82;0;"1_execution_empty_0.01_"
2479;50;0.01;90;200;90;0;"2_execution_empty_0.01_"
2478;50;0.01;81;200;81;0;"3_execution_empty_0.01_"
2478;50;0.01;72;200;72;0;"4_execution_empty_0.01_"
2478;50;0.01;87;200;87;0;"5_execution_empty_0.01_"
2478;50;0.01;71;200;71;0;"6_execution_empty_0.01_"
2478;50;0.01;75;200;75;0;"7_execution_empty_0.01_"
2478;50;0.01;57;200;57;0;"8_execution_empty_0.01_"
2478;50;0.01;81;200;81;0;"9_execution_empty_0.01_"
2478;50;0.01;80;200;80;0;"10_execution_empty_0.01_"
2432;50;0.03;90;200;90;0;"1_execution_empty_0.03_"
2433;50;0.03;71;200;71;0;"2_execution_empty_0.03_"
2432;50;0.03;81;200;81;0;"3_execution_empty_0.03_"
2432;50;0.03;69;200;69;0;"4_execution_empty_0.03_"
2432;50;0.03;70;200;70;0;"5_execution_empty_0.03_"
2432;50;0.03;59;200;59;0;"6_execution_empty_0.03_"
2432;50;0.03;61;200;61;0;"7_execution_empty_0.03_"
2432;50;0.03;58;200;58;0;"8_execution_empty_0.03_"
2432;50;0.03;66;200;66;0;"9_execution_empty_0.03_"
2432;50;0.03;56;200;56;0;"10_execution_empty_0.03_"
2380;50;0.05;67;200;67;0;"1_execution_empty_0.05_"
2380;50;0.05;64;200;64;0;"2_execution_empty_0.05_"
2380;50;0.05;89;200;89;0;"3_execution_empty_0.05_"
2380;50;0.05;87;200;87;0;"4_execution_empty_0.05_"
2381;50;0.05;53;200;53;0;"5_execution_empty_0.05_"
2380;50;0.05;77;200;77;0;"6_execution_empty_0.05_"
2380;50;0.05;92;200;92;0;"7_execution_empty_0.05_"
2380;50;0.05;64;200;64;0;"8_execution_empty_0.05_"
2380;50;0.05;80;200;80;0;"9_execution_empty_0.05_"
2380;50;0.05;68;200;68;1;"10_execution_empty_0.05_"
2324;50;0.07;87;200;87;0;"1_execution_empty_0.07_"
2324;50;0.07;73;200;73;1;"2_execution_empty_0.07_"
2324;50;0.07;83;200;83;0;"3_execution_empty_0.07_"
2324;50;0.07;88;200;88;0;"4_execution_empty_0.07_"
2324;50;0.07;88;200;88;0;"5_execution_empty_0.07_"
2322;50;0.07;57;200;57;1;"6_execution_empty_0.07_"
2323;50;0.07;81;200;81;0;"7_execution_empty_0.07_"
2323;50;0.07;60;200;60;0;"8_execution_empty_0.07_"
2322;50;0.07;76;200;76;1;"9_execution_empty_0.07_"
2323;50;0.07;76;200;76;0;"10_execution_empty_0.07_"
2279;50;0.09;83;200;83;0;"1_execution_empty_0.09_"
2279;50;0.09;80;200;80;0;"2_execution_empty_0.09_"
2279;50;0.09;60;200;60;0;"3_execution_empty_0.09_"
2279;50;0.09;74;200;74;0;"4_execution_empty_0.09_"
2279;50;0.09;65;200;65;0;"5_execution_empty_0.09_"
2278;50;0.09;54;200;54;1;"6_execution_empty_0.09_"
2279;50;0.09;76;200;76;0;"7_execution_empty_0.09_"
2279;50;0.09;74;200;74;0;"8_execution_empty_0.09_"
2279;50;0.09;62;200;62;0;"9_execution_empty_0.09_"
2279;50;0.09;61;200;61;0;"10_execution_empty_0.09_"
2235;50;0.11;86;200;86;0;"1_execution_empty_0.11_"
2235;50;0.11;70;200;70;0;"2_execution_empty_0.11_"
2235;50;0.11;87;200;87;0;"3_execution_empty_0.11_"
2236;50;0.11;69;200;69;0;"4_execution_empty_0.11_"
2236;50;0.11;83;200;83;0;"5_execution_empty_0.11_"
2236;50;0.11;71;200;71;0;"6_execution_empty_0.11_"
2236;50;0.11;70;200;70;0;"7_execution_empty_0.11_"
2236;50;0.11;70;200;70;0;"8_execution_empty_0.11_"
2236;50;0.11;80;200;80;0;"9_execution_empty_0.11_"
2236;50;0.11;79;200;79;0;"10_execution_empty_0.11_"
2196;50;0.13;92;200;92;0;"1_execution_empty_0.13_"
2197;50;0.13;66;200;66;0;"2_execution_empty_0.13_"
2197;50;0.13;88;200;88;0;"3_execution_empty_0.13_"
2198;50;0.13;88;200;88;0;"4_execution_empty_0.13_"
2199;50;0.13;65;200;65;0;"5_execution_empty_0.13_"
2198;50;0.13;53;200;53;0;"6_execution_empty_0.13_"
2197;50;0.13;81;200;81;1;"7_execution_empty_0.13_"
2198;50;0.13;61;200;61;0;"8_execution_empty_0.13_"
2198;50;0.13;84;200;84;0;"9_execution_empty_0.13_"
2198;50;0.13;66;200;66;0;"10_execution_empty_0.13_"
2138;50;0.15;71;200;71;0;"1_execution_empty_0.15_"
2138;50;0.15;75;200;75;0;"2_execution_empty_0.15_"
2137;50;0.15;64;200;64;0;"3_execution_empty_0.15_"
2136;50;0.15;56;200;56;1;"4_execution_empty_0.15_"
2137;50;0.15;79;200;79;0;"5_execution_empty_0.15_"
2137;50;0.15;92;200;92;0;"6_execution_empty_0.15_"
2137;50;0.15;98;200;98;0;"7_execution_empty_0.15_"
2135;50;0.15;91;200;91;2;"8_execution_empty_0.15_"
2138;50;0.15;93;200;93;0;"9_execution_empty_0.15_"
2136;50;0.15;89;200;89;1;"10_execution_empty_0.15_"
2066;50;0.17;69;200;69;16;"1_execution_empty_0.17_"
2075;50;0.17;66;200;66;7;"2_execution_empty_0.17_"
2080;50;0.17;75;200;75;4;"3_execution_empty_0.17_"
2078;50;0.17;79;200;79;6;"4_execution_empty_0.17_"
2081;50;0.17;65;200;65;4;"5_execution_empty_0.17_"
2076;50;0.17;70;200;70;9;"6_execution_empty_0.17_"
