burned;dim;empty;endOfBurning;finalTime;fireDuration;forest;simulations
2469;50;0.01;84;200;84;0;"1_execution_empty_0.01_"
2469;50;0.01;94;200;94;0;"2_execution_empty_0.01_"
2469;50;0.01;67;200;67;0;"3_execution_empty_0.01_"
2469;50;0.01;62;200;62;0;"4_execution_empty_0.01_"
2469;50;0.01;87;200;87;0;"5_execution_empty_0.01_"
2469;50;0.01;80;200;80;0;"6_execution_empty_0.01_"
2469;50;0.01;90;200;90;0;"7_execution_empty_0.01_"
2469;50;0.01;86;200;86;0;"8_execution_empty_0.01_"
2469;50;0.01;58;200;58;0;"9_execution_empty_0.01_"
2469;50;0.01;85;200;85;0;"10_execution_empty_0.01_"
2419;50;0.03;81;200;81;0;"1_execution_empty_0.03_"
2418;50;0.03;64;200;64;0;"2_execution_empty_0.03_"
2418;50;0.03;63;200;63;0;"3_execution_empty_0.03_"
2418;50;0.03;68;200;68;0;"4_execution_empty_0.03_"
2418;50;0.03;73;200;73;0;"5_execution_empty_0.03_"
2418;50;0.03;76;200;76;0;"6_execution_empty_0.03_"
2418;50;0.03;76;200;76;0;"7_execution_empty_0.03_"
2418;50;0.03;82;200;82;0;"8_execution_empty_0.03_"
2418;50;0.03;70;200;70;0;"9_execution_empty_0.03_"
2418;50;0.03;87;200;87;0;"10_execution_empty_0.03_"
2365;50;0.05;59;200;59;0;"1_execution_empty_0.05_"
2365;50;0.05;88;200;88;0;"2_execution_empty_0.05_"
2365;50;0.05;72;200;72;0;"3_execution_empty_0.05_"
2365;50;0.05;82;200;82;0;"4_execution_empty_0.05_"
2365;50;0.05;88;200;88;0;"5_execution_empty_0.05_"
2365;50;0.05;68;200;68;0;"6_execution_empty_0.05_"
2366;50;0.05;78;200;78;0;"7_execution_empty_0.05_"
2365;50;0.05;84;200;84;0;"8_execution_empty_0.05_"
2365;50;0.05;70;200;70;0;"9_execution_empty_0.05_"
2365;50;0.05;56;200;56;0;"10_execution_empty_0.05_"
2317;50;0.07;90;200;90;1;"1_execution_empty_0.07_"
2318;50;0.07;73;200;73;0;"2_execution_empty_0.07_"
2317;50;0.07;77;200;77;0;"3_execution_empty_0.07_"
2317;50;0.07;70;200;70;0;"4_execution_empty_0.07_"
2315;50;0.07;77;200;77;1;"5_execution_empty_0.07_"
2315;50;0.07;76;200;76;1;"6_execution_empty_0.07_"
2315;50;0.07;61;200;61;0;"7_execution_empty_0.07_"
2316;50;0.07;72;200;72;0;"8_execution_empty_0.07_"
2316;50;0.07;83;200;83;0;"9_execution_empty_0.07_"
2316;50;0.07;80;200;80;0;"10_execution_empty_0.07_"
2258;50;0.09;93;200;93;2;"1_execution_empty_0.09_"
2258;50;0.09;62;200;62;2;"2_execution_empty_0.09_"
2258;50;0.09;60;200;60;2;"3_execution_empty_0.09_"
2258;50;0.09;77;200;77;2;"4_execution_empty_0.09_"
