burned;dim;empty;endOfBurning;finalTime;fireDuration;forest;simulations
2449;50;0.01;68;200;68;18;"1_execution_empty_0.01_"
2457;50;0.01;85;200;85;21;"2_execution_empty_0.01_"
2452;50;0.01;86;200;86;33;"3_execution_empty_0.01_"
2451;50;0.01;81;200;81;23;"4_execution_empty_0.01_"
2455;50;0.01;74;200;74;19;"5_execution_empty_0.01_"
2454;50;0.01;91;200;91;23;"6_execution_empty_0.01_"
2463;50;0.01;77;200;77;20;"7_execution_empty_0.01_"
2457;50;0.01;76;200;76;19;"8_execution_empty_0.01_"
2468;50;0.01;75;200;75;12;"9_execution_empty_0.01_"
2456;50;0.01;59;200;59;23;"10_execution_empty_0.01_"
2403;50;0.03;56;200;56;25;"1_execution_empty_0.03_"
2426;50;0.03;78;200;78;12;"2_execution_empty_0.03_"
2406;50;0.03;85;200;85;18;"3_execution_empty_0.03_"
2435;50;0.03;66;200;66;19;"4_execution_empty_0.03_"
2400;50;0.03;60;200;60;24;"5_execution_empty_0.03_"
2399;50;0.03;96;200;96;16;"6_execution_empty_0.03_"
2393;50;0.03;73;200;73;25;"7_execution_empty_0.03_"
2395;50;0.03;75;200;75;23;"8_execution_empty_0.03_"
2385;50;0.03;85;200;85;25;"9_execution_empty_0.03_"
2407;50;0.03;59;200;59;20;"10_execution_empty_0.03_"
2361;50;0.05;65;200;65;22;"1_execution_empty_0.05_"
2361;50;0.05;94;200;94;21;"2_execution_empty_0.05_"
2354;50;0.05;92;200;92;23;"3_execution_empty_0.05_"
2366;50;0.05;68;200;68;16;"4_execution_empty_0.05_"
2353;50;0.05;86;200;86;21;"5_execution_empty_0.05_"
2365;50;0.05;88;200;88;17;"6_execution_empty_0.05_"
2362;50;0.05;60;200;60;16;"7_execution_empty_0.05_"
2359;50;0.05;59;200;59;22;"8_execution_empty_0.05_"
2356;50;0.05;73;200;73;23;"9_execution_empty_0.05_"
2363;50;0.05;81;200;81;18;"10_execution_empty_0.05_"
2289;50;0.07;58;200;58;30;"1_execution_empty_0.07_"
2306;50;0.07;69;200;69;20;"2_execution_empty_0.07_"
2272;50;0.07;75;200;75;20;"3_execution_empty_0.07_"
2302;50;0.07;74;200;74;27;"4_execution_empty_0.07_"
2273;50;0.07;89;200;89;30;"5_execution_empty_0.07_"
2297;50;0.07;85;200;85;27;"6_execution_empty_0.07_"
2305;50;0.07;77;200;77;29;"7_execution_empty_0.07_"
2292;50;0.07;73;200;73;19;"8_execution_empty_0.07_"
2289;50;0.07;77;200;77;21;"9_execution_empty_0.07_"
2283;50;0.07;83;200;83;28;"10_execution_empty_0.07_"
2256;50;0.09;67;200;67;30;"1_execution_empty_0.09_"
2236;50;0.09;80;200;80;25;"2_execution_empty_0.09_"
2269;50;0.09;76;200;76;16;"3_execution_empty_0.09_"
2246;50;0.09;89;200;89;37;"4_execution_empty_0.09_"
2227;50;0.09;71;200;71;29;"5_execution_empty_0.09_"
2271;50;0.09;83;200;83;35;"6_execution_empty_0.09_"
2235;50;0.09;63;200;63;34;"7_execution_empty_0.09_"
2247;50;0.09;60;200;60;32;"8_execution_empty_0.09_"
2270;50;0.09;80;200;80;14;"9_execution_empty_0.09_"
2260;50;0.09;79;200;79;34;"10_execution_empty_0.09_"
2176;50;0.11;83;200;83;32;"1_execution_empty_0.11_"
2212;50;0.11;92;200;92;26;"2_execution_empty_0.11_"
2170;50;0.11;67;200;67;43;"3_execution_empty_0.11_"
2207;50;0.11;74;200;74;24;"4_execution_empty_0.11_"
2202;50;0.11;80;200;80;27;"5_execution_empty_0.11_"
2203;50;0.11;79;200;79;23;"6_execution_empty_0.11_"
2178;50;0.11;78;200;78;27;"7_execution_empty_0.11_"
2181;50;0.11;76;200;76;32;"8_execution_empty_0.11_"
2197;50;0.11;62;200;62;28;"9_execution_empty_0.11_"
2209;50;0.11;83;200;83;28;"10_execution_empty_0.11_"
2141;50;0.13;83;200;83;46;"1_execution_empty_0.13_"
2140;50;0.13;82;200;82;35;"2_execution_empty_0.13_"
2132;50;0.13;74;200;74;35;"3_execution_empty_0.13_"
2140;50;0.13;63;200;63;34;"4_execution_empty_0.13_"
2142;50;0.13;77;200;77;35;"5_execution_empty_0.13_"
2134;50;0.13;71;200;71;36;"6_execution_empty_0.13_"
2118;50;0.13;65;200;65;47;"7_execution_empty_0.13_"
2161;50;0.13;84;200;84;30;"8_execution_empty_0.13_"
2146;50;0.13;74;200;74;41;"9_execution_empty_0.13_"
2168;50;0.13;66;200;66;20;"10_execution_empty_0.13_"
2006;50;0.15;68;200;68;100;"1_execution_empty_0.15_"
2085;50;0.15;69;200;69;34;"2_execution_empty_0.15_"
2121;50;0.15;75;200;75;34;"3_execution_empty_0.15_"
2074;50;0.15;62;200;62;48;"4_execution_empty_0.15_"
2072;50;0.15;93;200;93;46;"5_execution_empty_0.15_"
2087;50;0.15;77;200;77;31;"6_execution_empty_0.15_"
2096;50;0.15;60;200;60;49;"7_execution_empty_0.15_"
2089;50;0.15;93;200;93;42;"8_execution_empty_0.15_"
2124;50;0.15;84;200;84;30;"9_execution_empty_0.15_"
2121;50;0.15;91;200;91;30;"10_execution_empty_0.15_"
2031;50;0.17;87;200;87;63;"1_execution_empty_0.17_"
2043;50;0.17;83;200;83;42;"2_execution_empty_0.17_"
2026;50;0.17;84;200;84;29;"3_execution_empty_0.17_"
1994;50;0.17;88;200;88;62;"4_execution_empty_0.17_"
2002;50;0.17;85;200;85;55;"5_execution_empty_0.17_"
1973;50;0.17;76;200;76;75;"6_execution_empty_0.17_"
2014;50;0.17;66;200;66;60;"7_execution_empty_0.17_"
2019;50;0.17;59;200;59;55;"8_execution_empty_0.17_"
2050;50;0.17;78;200;78;37;"9_execution_empty_0.17_"
2075;50;0.17;73;200;73;42;"10_execution_empty_0.17_"
1969;50;0.19;99;200;99;43;"1_execution_empty_0.19_"
1970;50;0.19;73;200;73;60;"2_execution_empty_0.19_"
2014;50;0.19;83;200;83;24;"3_execution_empty_0.19_"
1966;50;0.19;83;200;83;62;"4_execution_empty_0.19_"
2016;50;0.19;53;200;53;32;"5_execution_empty_0.19_"
1964;50;0.19;92;200;92;46;"6_execution_empty_0.19_"
1959;50;0.19;70;200;70;64;"7_execution_empty_0.19_"
1937;50;0.19;68;200;68;81;"8_execution_empty_0.19_"
1950;50;0.19;69;200;69;54;"9_execution_empty_0.19_"
1909;50;0.19;56;200;56;85;"10_execution_empty_0.19_"
1874;50;0.21;65;200;65;78;"1_execution_empty_0.21_"
1922;50;0.21;83;200;83;69;"2_execution_empty_0.21_"
1941;50;0.21;61;200;61;56;"3_execution_empty_0.21_"
1962;50;0.21;71;200;71;70;"4_execution_empty_0.21_"
1904;50;0.21;78;200;78;63;"5_execution_empty_0.21_"
1854;50;0.21;84;200;84;96;"6_execution_empty_0.21_"
1940;50;0.21;78;200;78;52;"7_execution_empty_0.21_"
1930;50;0.21;70;200;70;63;"8_execution_empty_0.21_"
1923;50;0.21;83;200;83;35;"9_execution_empty_0.21_"
1887;50;0.21;73;200;73;75;"10_execution_empty_0.21_"
1874;50;0.23;81;200;81;56;"1_execution_empty_0.23_"
1895;50;0.23;71;200;71;68;"2_execution_empty_0.23_"
1777;50;0.23;109;200;109;131;"3_execution_empty_0.23_"
1864;50;0.23;83;200;83;90;"4_execution_empty_0.23_"
1810;50;0.23;74;200;74;119;"5_execution_empty_0.23_"
1854;50;0.23;61;200;61;87;"6_execution_empty_0.23_"
1869;50;0.23;76;200;76;69;"7_execution_empty_0.23_"
1891;50;0.23;65;200;65;71;"8_execution_empty_0.23_"
1870;50;0.23;75;200;75;51;"9_execution_empty_0.23_"
1846;50;0.23;76;200;76;79;"10_execution_empty_0.23_"
1664;50;0.25;81;200;81;170;"1_execution_empty_0.25_"
1682;50;0.25;109;200;109;164;"2_execution_empty_0.25_"
1725;50;0.25;78;200;78;155;"3_execution_empty_0.25_"
1801;50;0.25;97;200;97;82;"4_execution_empty_0.25_"
1768;50;0.25;81;200;81;112;"5_execution_empty_0.25_"
1702;50;0.25;86;200;86;149;"6_execution_empty_0.25_"
1638;50;0.25;97;200;97;191;"7_execution_empty_0.25_"
1781;50;0.25;63;200;63;56;"8_execution_empty_0.25_"
1734;50;0.25;79;200;79;153;"9_execution_empty_0.25_"
1803;50;0.25;73;200;73;94;"10_execution_empty_0.25_"
1776;50;0.27;93;200;93;82;"1_execution_empty_0.27_"
1677;50;0.27;88;200;88;134;"2_execution_empty_0.27_"
1700;50;0.27;83;200;83;167;"3_execution_empty_0.27_"
1731;50;0.27;82;200;82;125;"4_execution_empty_0.27_"
1677;50;0.27;104;200;104;120;"5_execution_empty_0.27_"
1520;50;0.27;70;200;70;294;"6_execution_empty_0.27_"
1708;50;0.27;115;200;115;129;"7_execution_empty_0.27_"
1671;50;0.27;78;200;78;163;"8_execution_empty_0.27_"
1760;50;0.27;83;200;83;85;"9_execution_empty_0.27_"
1688;50;0.27;86;200;86;136;"10_execution_empty_0.27_"
1689;50;0.29;104;200;104;101;"1_execution_empty_0.29_"
1501;50;0.29;85;200;85;263;"2_execution_empty_0.29_"
586;50;0.29;52;200;52;1171;"3_execution_empty_0.29_"
1418;50;0.29;79;200;79;348;"4_execution_empty_0.29_"
1596;50;0.29;152;200;152;166;"5_execution_empty_0.29_"
1679;50;0.29;69;200;69;123;"6_execution_empty_0.29_"
23;50;0.29;12;200;12;1767;"7_execution_empty_0.29_"
1601;50;0.29;92;200;92;186;"8_execution_empty_0.29_"
1493;50;0.29;99;200;99;270;"9_execution_empty_0.29_"
986;50;0.29;105;200;105;774;"10_execution_empty_0.29_"
1382;50;0.31;139;200;139;346;"1_execution_empty_0.31_"
1453;50;0.31;110;200;110;273;"2_execution_empty_0.31_"
1373;50;0.31;113;200;113;337;"3_execution_empty_0.31_"
1109;50;0.31;88;200;88;626;"4_execution_empty_0.31_"
