burned;dim;empty;endOfBurning;finalTime;fireDuration;forest;simulations
2479;50;0.01;46;200;46;0;"1_execution_empty_0.01_"
2479;50;0.01;49;200;49;0;"2_execution_empty_0.01_"
2479;50;0.01;38;200;38;0;"3_execution_empty_0.01_"
2479;50;0.01;48;200;48;0;"4_execution_empty_0.01_"
2479;50;0.01;42;200;42;0;"5_execution_empty_0.01_"
2479;50;0.01;29;200;29;0;"6_execution_empty_0.01_"
2479;50;0.01;50;200;50;0;"7_execution_empty_0.01_"
2479;50;0.01;46;200;46;0;"8_execution_empty_0.01_"
2479;50;0.01;44;200;44;0;"9_execution_empty_0.01_"
2479;50;0.01;35;200;35;0;"10_execution_empty_0.01_"
2438;50;0.03;43;200;43;0;"1_execution_empty_0.03_"
2438;50;0.03;42;200;42;0;"2_execution_empty_0.03_"
2438;50;0.03;40;200;40;0;"3_execution_empty_0.03_"
2438;50;0.03;45;200;45;0;"4_execution_empty_0.03_"
2438;50;0.03;47;200;47;0;"5_execution_empty_0.03_"
2438;50;0.03;42;200;42;0;"6_execution_empty_0.03_"
2438;50;0.03;44;200;44;0;"7_execution_empty_0.03_"
2438;50;0.03;48;200;48;0;"8_execution_empty_0.03_"
2438;50;0.03;46;200;46;0;"9_execution_empty_0.03_"
2438;50;0.03;42;200;42;0;"10_execution_empty_0.03_"
2396;50;0.05;38;200;38;0;"1_execution_empty_0.05_"
2395;50;0.05;48;200;48;0;"2_execution_empty_0.05_"
2395;50;0.05;38;200;38;0;"3_execution_empty_0.05_"
2395;50;0.05;50;200;50;0;"4_execution_empty_0.05_"
2394;50;0.05;38;200;38;0;"5_execution_empty_0.05_"
2394;50;0.05;37;200;37;0;"6_execution_empty_0.05_"
2394;50;0.05;33;200;33;0;"7_execution_empty_0.05_"
2394;50;0.05;42;200;42;0;"8_execution_empty_0.05_"
2395;50;0.05;44;200;44;0;"9_execution_empty_0.05_"
2394;50;0.05;37;200;37;0;"10_execution_empty_0.05_"
2351;50;0.07;45;200;45;0;"1_execution_empty_0.07_"
2352;50;0.07;38;200;38;0;"2_execution_empty_0.07_"
2352;50;0.07;34;200;34;0;"3_execution_empty_0.07_"
2352;50;0.07;46;200;46;0;"4_execution_empty_0.07_"
2352;50;0.07;29;200;29;0;"5_execution_empty_0.07_"
2351;50;0.07;35;200;35;0;"6_execution_empty_0.07_"
