averageBurned;averageForest;averageTime;empty
2478.1;0.0;77.6;0.01
2432.1;0.0;68.1;0.03
2380.1;0.1;74.1;0.05
2323.3;0.3;76.9;0.07
2278.9;0.1;68.9;0.09
2235.7;0.0;76.5;0.11
2197.6;0.1;74.4;0.13
2136.9;0.4;80.8;0.15
2078.3;5.8;75.9;0.17
2044.8;2.3;73.7;0.19
1983.1;16.0;74.1;0.21
1944.7;19.6;68.9;0.23
1880.4;37.9;75.1;0.25
1631.6;236.6;75.0;0.27
1758.8;55.1;77.4;0.29
1707.6;60.8;85.4;0.31
1628.3;81.2;91.7;0.33
1222.6;436.8;61.1;0.35
1077.1;526.3;64.8;0.37
650.0;892.3;56.2;0.39
295.0;1191.3;49.8;0.41
182.1;1248.7;38.6;0.43
80.4;1295.0;22.9;0.45
49.9;1276.0;14.8;0.47
81.7;1198.4;20.9;0.49
49.5;1166.9;17.4;0.51
20.9;1138.2;9.3;0.53
24.5;1097.5;11.0;0.55
10.9;1061.0;5.8;0.57
12.0;998.8;7.2;0.59
14.4;942.3;7.3;0.61
5.4;890.1;3.7;0.63
7.2;847.3;4.8;0.65
4.6;796.7;3.3;0.67
5.9;756.2;3.6;0.69
4.8;706.7;3.3;0.71
4.7;644.6;3.8;0.73
3.6;604.9;2.7;0.75
2.9;568.2;2.5;0.77
2.0;524.2;1.9;0.79
2.0;480.5;1.8;0.81
1.8;423.5;1.6;0.83
2.5;367.5;2.3;0.85
1.7;312.2;1.6;0.87
1.4;263.8;1.4;0.89
1.4;224.0;1.4;0.91
1.2;164.2;1.2;0.93
1.3;125.6;1.3;0.95
1.1;70.8;1.1;0.97
1.1;27.9;1.1;0.99
